,id,name,rating,time,servings,yield,course0,cuisine0,Piquant,Sour,Salty,Sweet,Bitter,Meaty,cuisine1,holiday0,holiday1,holiday2,course1,cuisine2,course2,course3,holiday3,cuisine3,course4,holiday4,Cajun & Creole,Spanish,Hawaiian,Kid-Friendly,Indian,English,Greek,Thai,Southwestern,Italian,Mediterranean,Irish,Southern & Soul Food,Hungarian,American,Mexican,Swedish,Moroccan,Barbecue,German,Asian,Portuguese,Vietnamese,Japanese,Cuban,French,Chinese,Breads,Soups,Afternoon Tea,Cocktails,Beverages,Lunch and Snacks,Main Dishes,Appetizers,Breakfast and Brunch,Desserts,Condiments and Sauces,Side Dishes,Salads,Game Day,Christmas,Unnamed: 69,4th of July,New Year,Passover,Sommer Cocktail Party,Fall,Winter,Chinese New Year,Valentine's Day,Thanksgiving,Thanksgivukkah,Spring,Summer,Hanukkah,Sunday Lunch,Easter,St. Patrick's Day,Halloween,number_of_ingredients,taste_sum,parsed,failed,ingredient0,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient0qty,ingredient0type,ingredient1qty,ingredient1type,ingredient2qty,ingredient2type,ingredient3qty,ingredient3type,ingredient4qty,ingredient4type,ingredient5qty,ingredient5type,ingredient6qty,ingredient6type,ingredient7qty,ingredient7type,ingredient8qty,ingredient8type,ingredient9qty,ingredient9type,ingredient10qty,ingredient10type,ingredient11qty,ingredient11type,ingredient12qty,ingredient12type,ingredient13qty,ingredient13type,ingredient14qty,ingredient14type,ingredient15qty,ingredient15type,ingredient16qty,ingredient16type,ingredient17qty,ingredient17type,ingredient18qty,ingredient18type,ingredient19qty,ingredient19type,amount_error
19108,Cheesy-Mexican-Couscous-Casserole-1064510,Cheesy Mexican Couscous Casserole,4,2700.0,7.0,6 to 8 servings,Main Dishes,Mexican,0.8333,0.1667,0.8333,0.1667,0.8333,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.5,True,0,sour cream,milk,chicken,salsa,couscous,cheese,black beans,chopped cilantro,,,,,,,,,,,,,236.59,vol,118.295,vol,453.6,wt,473.18,vol,118.295,vol,226.8,wt,425.25,wt,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19111,Panfried-Red-Snapper-With-Chipotle-Butter-Epicurious,Panfried Red Snapper with Chipotle Butter,5,1800.0,4.0,Makes 4 servings,Main Dishes,American,0.6667,0.3333,0.8333,0.0,0.3333,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.6666,True,0,unsalted butter,chiles,salt,red snapper,all-purpose flour,vegetable oil,,,,,,,,,,,,,,,59.1475,vol,14.787,vol,2.4645,vol,680.4000000000001,wt,78.86333333333333,vol,44.361000000000004,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19112,Drunken-Noodles-Epicurious-52461,Drunken Noodles,5,1800.0,6.0,Makes 6 servings,Main Dishes,Asian,0.8333,1.0,0.8333,0.6667,1.0,0.8333,Thai,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5.1666,True,0,rice noodles,vegetable oil,cloves garlic,chiles,chicken,fish sauce,soy sauce,light soy sauce,sugar,plum tomatoes,green bell pepper,green bell pepper,green bell pepper,fresh basil leaves,,,,,,,0.0,wt,59.1475,vol,12.0,whole,59.1475,vol,680.4000000000001,wt,59.1475,vol,59.1475,vol,59.1475,vol,14.787,vol,4.0,whole,0.0,wt,0.0,wt,0.0,wt,118.295,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19118,Penne-with-Radicchio_-Spinach_-and-Bacon-488670,"Penne with Radicchio, Spinach, and Bacon",4,3900.0,6.0,to make more of these 6pm runs than ever.,Main Dishes,Italian,0.0,0.5,0.8333,0.5,0.6667,0.8333,,Christmas,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.3333,True,0,cloves garlic,olive oil,penne,bacon,chopped onion,chicken broth,leaves,baby spinach,fresh basil leaves,freshly grated parmesan cheese,red pepper,,,,,,,,,,1.0,whole,29.574,vol,453.6,wt,226.8,wt,473.18,vol,236.59,vol,1419.54,vol,709.77,vol,236.59,vol,236.59,vol,1.23225,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19121,Country_fried-Steak-In-Paradise-My-Recipes,Country-Fried Steak in Paradise,4,2100.0,4.0,4 servings,Main Dishes,American,0.0,0.3333,0.6667,0.6667,0.5,0.3333,Southern & Soul Food,,,,Breakfast and Brunch,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.5,True,0,all-purpose flour,cornmeal,salt,ground black pepper,red pepper,garlic powder,sirloin,bacon,all-purpose flour,milk,,,,,,,,,,,118.295,vol,59.1475,vol,3.69675,vol,4.929,vol,0.0,wt,0.616125,vol,453.6,wt,29.574,vol,29.574,vol,473.18,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19122,Curry-Stand-Chicken-Tikka-Masala-Sauce-1000541,Curry Stand Chicken Tikka Masala Sauce,4,4800.0,6.0,6 servings,Main Dishes,Asian,0.8333,0.1667,0.8333,0.5,0.8333,0.3333,Indian,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3.4999,True,0,ghee,finely chopped onion,"garlic cloves, minced",ground cumin,salt,ground ginger,cayenne pepper,ground cinnamon,ground turmeric,tomato sauce,heavy cream,paprika,white sugar,vegetable oil,chicken breast halves,curry powder,salt to taste,white sugar,,,29.574,vol,1.0,whole,4.0,whole,14.787,vol,4.929,vol,4.929,vol,4.929,vol,2.4645,vol,1.23225,vol,396.90000000000003,wt,236.59,vol,9.858,vol,14.787,vol,14.787,vol,4.0,whole,2.4645,vol,2.4645,vol,4.929,vol,0.0,,0.0,,0
19128,Chilorio_-Mexican-Pulled-Pork-379664,"Chilorio, Mexican Pulled Pork",5,,6.0,4-6 servings,Main Dishes,Mexican,0.3333,1.0,0.1667,0.6667,0.8333,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.3333,True,0,pork butt,ground cumin,kosher salt,orange juice,chiles,chiles,cloves garlic,white vinegar,oregano,ground allspice,cilantro,corn tortillas,salsa,onion,cheese,,,,,,1360.8000000000002,wt,9.858,vol,4.929,vol,295.7375,vol,2.0,whole,2.0,whole,6.0,whole,118.295,vol,4.929,vol,1.23225,vol,118.295,vol,0.0,whole,0.0,whole,0.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0
19130,Green-Chile-Stew-Allrecipes,Green Chile Stew,4,2700.0,8.0,8 servings,Main Dishes,Mexican,0.6667,1.0,0.5,0.6667,0.5,0.6667,American,,,,Soups,Southwestern,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4.0001,True,0,ground beef,chopped onion,cloves garlic,green chiles,chopped tomatoes,tomato sauce,corn kernels,potatoes,water,cayenne pepper,salt and pepper to taste,salt and pepper to taste,,,,,,,,,453.6,wt,1.0,whole,1.0,whole,113.4,wt,411.07500000000005,wt,226.8,wt,425.25,wt,3.0,whole,473.18,vol,0.0,wt,0.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19133,Steak-and-Eggs-Rancheros-1046097,Steak and Eggs Rancheros,5,1500.0,4.0,Makes 4 servings,Main Dishes,American,0.3333,0.5,0.8333,0.3333,0.8333,0.8333,,,,,Breakfast and Brunch,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.6665,True,0,flank steak,salt,olive oil spray,eggs,tortillas,lentils,cheese,salsa,,,,,,,,,,,,,226.8,wt,1.23225,vol,0.0,wt,4.0,whole,0.0,wt,236.59,vol,2.0,whole,59.148,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19136,Spice_rubbed-Chicken-And-Vegetable-Tacos-With-Cilantro-Slaw-And-Chipotle-Cream-Epicurious,Spice-Rubbed Chicken and Vegetable Tacos with Cilantro Slaw and Chipotle Cream,5,1500.0,6.0,Makes 6 servings,Main Dishes,Mexican,0.6667,0.3333,0.3333,0.6667,0.3333,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.8333,True,0,sour cream,chiles,brown sugar,smoked paprika,chili powder,coarse kosher salt,garlic powder,onion powder,zucchini,red bell pepper,canola oil,chicken breast halves,corn tortillas,cilantro,lime wedges,,,,,,354.885,vol,14.787,vol,29.574,vol,14.787,vol,11.090250000000001,vol,7.3935,vol,7.3935,vol,7.3935,vol,0.0,vol,1.0,whole,29.574,vol,453.6,wt,12.0,whole,0.0,whole,2.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0
19147,Coconut-Ginger-Curry-With-Vegetables-And-Halibut-My-Recipes,Coconut Ginger Curry with Vegetables and Halibut,4,2700.0,8.0,Serves 6 to 8,Main Dishes,Asian,0.6667,0.6667,0.6667,0.3333,0.8333,0.5,Indian,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.6667,True,0,fresh lime juice,fresh lime juice,chopped onion,minced fresh ginger,ground coriander,serrano chiles,turmeric,cayenne,salt,coconut milk,yukon gold potatoes,carrots,halibut,spinach,curry leaves,frozen peas,,,,,4.929,vol,4.929,vol,473.18,vol,22.180500000000002,vol,29.574,vol,4.0,whole,1.23225,vol,2.4645,vol,4.929,vol,382.725,wt,3.0,whole,2.0,whole,226.8,wt,113.4,wt,15.0,whole,118.295,vol,0.0,,0.0,,0.0,,0.0,,0
19148,Honey-Chipotle-Turkey-Meatballs-Martha-Stewart-239859,Honey-Chipotle Turkey Meatballs,5,2400.0,8.0,servings: 8,Main Dishes,American,0.0,0.5,0.5,0.6667,0.6667,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.1667,True,0,turkey,yellow onion,"garlic cloves, minced",salt,ground pepper,honey,chiles,cider vinegar,extra-virgin olive oil,,,,,,,,,,,,680.4000000000001,wt,1.0,whole,2.0,whole,2.4645,vol,1.23225,vol,29.574,vol,29.574,vol,9.858,vol,14.787,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19150,Sharon_s-Awesome-Chicago-Chili-Allrecipes,Sharon's Awesome Chicago Chili,4,15300.0,10.0,10 servings,Main Dishes,American,0.3333,1.0,0.3333,0.8333,1.0,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4.4999,True,0,ground beef,kidney beans,tomatoes,beer,tomato sauce,chopped onion,"garlic cloves, minced",chili,black pepper,garlic powder,onion powder,cayenne pepper,oregano,sugar,hot sauce,worcestershire sauce,,,,,907.2,wt,411.07500000000005,wt,425.25,wt,354.84000000000003,vol,340.20000000000005,wt,1.0,whole,6.0,whole,29.574,vol,4.929,vol,2.4645,vol,2.4645,vol,2.4645,vol,2.4645,vol,59.1475,vol,4.929,vol,4.929,vol,0.0,,0.0,,0.0,,0.0,,0
19151,Shoyu-Chicken-AllRecipes,Shoyu Chicken,5,5400.0,12.0,12 servings,Main Dishes,Barbecue,0.8333,0.1667,0.8333,0.3333,0.8333,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.6666,True,0,soy sauce,brown sugar,water,"garlic cloves, minced",chopped onion,ginger root,ground black pepper,dried oregano,red pepper flakes,cayenne pepper,paprika,chicken thighs,,,,,,,,,236.59,vol,236.59,vol,236.59,vol,4.0,whole,1.0,whole,14.787,vol,14.787,vol,14.787,vol,4.929,vol,4.929,vol,4.929,vol,2268.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19152,Shrimp-With-Sweet-Pea-Sauce-My-Recipes,Shrimp with Sweet Pea Sauce,4,1200.0,4.0,4 servings,Main Dishes,American,0.3333,0.8333,0.6667,0.6667,0.3333,0.3333,,Spring,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,3.1666,True,0,olive oil,jumbo shrimp,salt,black pepper,chicken fat,minced garlic,green peas,mint leaves,butter,white wine vinegar,,,,,,,,,,,9.858,vol,680.4000000000001,wt,2.4645,vol,1.23225,vol,236.59,vol,4.929,vol,0.0,wt,59.1475,vol,29.574,vol,9.858,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19159,Homeroom_s-Classic-Macaroni-and-Cheese-506181,Homeroom's Classic Macaroni and Cheese,5,3000.0,6.0,6 servings,Main Dishes,Kid-Friendly,0.0,0.8333,0.5,0.6667,0.6667,1.0,American,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.6667,True,0,whole milk,unsalted butter,all-purpose flour,kosher salt,kosher salt,elbow macaroni,cheddar cheese,pecorino cheese,panko,,,,,,,,,,,,946.36,vol,118.296,vol,118.295,vol,29.574,vol,0.0,whole,453.6,wt,226.8,wt,85.05000000000001,wt,157.72666666666666,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19160,Stir-Fried-Chicken-with-Snow-Peas-and-Ginger-1117498,Stir-Fried Chicken with Snow Peas and Ginger,4,1500.0,4.0,Makes 4 servings,Main Dishes,Asian,0.0,0.8333,0.5,0.1667,0.8333,0.5,Chinese,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.8333,True,0,chicken,cornstarch,rice wine,soy sauce,hoisin sauce,vegetable oil,sesame oil,fresh ginger,chopped garlic,snow peas,water chestnuts,scallions,,,,,,,,,453.6,wt,14.787,vol,29.574,vol,7.3935,vol,14.787,vol,14.787,vol,14.787,vol,9.858,vol,4.929,vol,226.8,wt,226.8,wt,3.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19173,Pasta-with-Garden-Bolognese-Sauce-472660,Pasta with Garden Bolognese Sauce,4,,6.0,yield:6 ,Main Dishes,Italian,0.3333,1.0,0.8333,0.8333,0.8333,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.3332,True,0,olive oil,carrots,chopped onion,celery,red bell pepper,green bell pepper,portobello mushrooms,dried oregano,"garlic cloves, minced",dry red wine,marinara sauce,pasta,mozzarella cheese,,,,,,,,9.858,vol,473.18,vol,473.18,vol,236.59,vol,236.59,vol,236.59,vol,414.0325,vol,9.858,vol,3.0,whole,236.59,vol,737.1,wt,1419.54,vol,354.885,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19174,Potato-And-Bean-Enchiladas-Allrecipes,Potato and Bean Enchiladas,4,6300.0,12.0,12 servings,Main Dishes,Mexican,0.3333,0.6667,0.5,0.6667,1.0,0.5,American,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.6667,True,0,potatoes,cumin,chili powder,salt,ketchup,tomatillos,chopped onion,fresh cilantro,corn tortillas,pinto beans,queso fresco,oil,,,,,,,,,453.6,wt,4.929,vol,4.929,vol,4.929,vol,14.787,vol,453.6,wt,1.0,whole,1.0,whole,340.20000000000005,wt,439.425,wt,340.20000000000005,wt,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19180,Grilled-Halibut-Ii-Allrecipes,Grilled Halibut II,4,8400.0,6.0,6 servings,Main Dishes,Barbecue,0.0,0.1667,0.3333,0.1667,0.3333,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.0,True,0,halibut fillets,olive oil,fresh lime juice,dried thyme,basil,dried oregano,rosemary,,,,,,,,,,,,,,170.10000000000002,wt,29.574,vol,29.574,vol,2.4645,vol,2.4645,vol,1.23225,vol,0.616125,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19185,Spicy-Vegetarian-Lasagna-Allrecipes,Spicy Vegetarian Lasagna,4,6000.0,12.0,12 servings,Main Dishes,Italian,0.3333,1.0,0.5,0.6667,0.5,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3.6667,True,0,noodles,olive oil,red bell pepper,bell peppers,yellow bell pepper,green bell pepper,yellow onion,tomatoes,tomato paste,water,red pepper flakes,parmesan cheese,ricotta cheese,mozzarella cheese,eggs,black pepper,dried oregano,parmesan cheese,,,453.6,wt,9.858,vol,157.72666666666666,vol,157.72666666666666,vol,157.72666666666666,vol,157.72666666666666,vol,1.0,whole,411.07500000000005,wt,170.10000000000002,wt,354.885,vol,1.0,whole,59.1475,vol,425.25,wt,226.8,wt,4.0,whole,1.23225,vol,1.23225,vol,59.1475,vol,0.0,,0.0,,0
19204,Rio-Grande-Beef-Burritos-With-Roasted-Peppers-Epicurious,Rio Grande Beef Burritos with Roasted Peppers,5,,2.0,Makes 2 servings,Main Dishes,American,0.6667,1.0,0.5,0.6667,0.3333,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.8334,True,0,flank steak,large garlic cloves,ground cumin,olive oil,fresh lime juice,large onion,green chiles,green chiles,red pepper,cream,monterey jack cheese,dried oregano,flour tortillas,,,,,,,,226.8,wt,1.0,whole,1.23225,vol,36.9675,vol,7.3935,vol,1.0,whole,0.0,wt,0.0,wt,0.0,wt,118.295,vol,295.7375,vol,2.4645,vol,4.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19208,Southwestern-Chicken-Couscous-Stew-1080034,Southwestern Chicken Couscous Stew,4,1800.0,6.0,6 servings,Main Dishes,Southwestern,0.6667,0.1667,0.6667,0.1667,0.1667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.0002,True,0,olive oil,white onion,chicken breasts,chili powder,cumin,salt,salsa,black beans,corn,chicken broth,couscous,cheese,green onions,tortillas,tortillas,,,,,,29.574,vol,1.0,whole,453.6,wt,9.858,vol,4.929,vol,2.4645,vol,453.6,wt,425.25,wt,236.59,vol,946.36,vol,236.59,vol,0.0,whole,0.0,wt,0.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0
19212,Orange_glazed-Pork-Roast-My-Recipes,Orange-Glazed Pork Roast,4,5400.0,16.0,Makes 16 servings,Main Dishes,American,0.6667,0.3333,1.0,0.0,0.5,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.6667,True,0,pork loin,vegetables,ground pepper,salt,orange marmalade,mustard,fresh rosemary,all-purpose flour,chicken fat,fresh rosemary,,,,,,,,,,,0.0,wt,0.0,wt,7.3935,vol,2.4645,vol,236.59,vol,29.574,vol,9.858,vol,29.574,vol,411.07500000000005,wt,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19214,Baked-Chicken-Enchiladas-Cafe-Tacuba-Style-571343,Baked Chicken Enchiladas Cafe Tacuba-Style,5,4200.0,4.0,4 servings,Main Dishes,Mexican,0.1667,0.3333,0.1667,0.1667,0.3333,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.6666999999999998,True,0,chiles,spinach leaves,whole milk,chicken broth,vegetable oil,"garlic cloves, minced",all-purpose flour,coarse salt,chicken,corn tortillas,vegetable oil,monterey jack cheese,fresh cilantro,,,,,,,,2.0,whole,0.0,vol,473.18,vol,473.18,vol,88.72200000000001,vol,3.0,whole,118.295,vol,0.0,whole,709.77,vol,12.0,whole,0.0,wt,236.59,vol,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19216,Blackened-swordfish-tacos-w_-mango-avocado-salsa-361165,Blackened Swordfish Tacos w/ Mango Avocado Salsa,5,1500.0,4.0,4,Main Dishes,Mexican,0.8333,0.3333,0.8333,0.1667,0.8333,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.1666000000000003,True,0,swordfish,cayenne pepper,paprika,cumin,parsley,oregano,black pepper,salt,corn tortillas,romaine lettuce,salsa,,,,,,,,,,170.10000000000002,wt,9.858,vol,29.574,vol,29.574,vol,29.574,vol,29.574,vol,4.929,vol,4.929,vol,8.0,whole,473.18,vol,236.59,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19232,Basil-Garlic-Grilled-Pork-Chops-AllRecipes-39356,Basil-Garlic Grilled Pork Chops,4,3600.0,4.0,4 pork chops,Main Dishes,Barbecue,0.0,0.1667,0.6667,0.1667,0.8333,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.6667,True,0,pork chops,lime,"garlic cloves, minced",fresh basil,salt and pepper to taste,salt and pepper to taste,,,,,,,,,,,,,,,226.8,wt,1.0,whole,4.0,whole,59.1475,vol,0.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
19234,Spaghetti-with-Spicy-Tomato-Sauce-459108,Spaghetti with Spicy Tomato Sauce,5,3600.0,4.0,serves 4,Main Dishes,Italian,0.1667,0.6667,0.8333,0.1667,0.8333,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.8334,True,0,olive oil,large garlic cloves,plum tomatoes,red pepper flakes,salt and freshly ground pepper to taste,salt and freshly ground pepper to taste,salt,spaghetti,fresh basil,parmigiano-reggiano cheese,,,,,,,,,,,29.574,vol,4.0,whole,793.8000000000001,wt,4.929,vol,0.0,wt,0.0,wt,29.574,vol,453.6,wt,59.1475,vol,118.295,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
